id,requirement
1.1.1,Редактор должен отображать JSON файлы с подсветкой синтаксиса в соответствии со спецификацией JSON
1.1.2,Редактор должен обеспечивать редактирование JSON файлов с сохранением синтаксической корректности
1.1.3,Редактор должен отображать ошибки синтаксиса JSON в реальном времени
1.1.4,Редактор должен обеспечивать автодополнение ключей и значений в JSON файлах
1.2.1,Редактор должен отображать YAML файлы с подсветкой синтаксиса в соответствии со спецификацией YAML
1.2.2,Редактор должен обеспечивать редактирование YAML файлов с сохранением синтаксической корректности
1.2.3,Редактор должен отображать ошибки синтаксиса YAML в реальном времени
1.2.4,Редактор должен обеспечивать автодополнение ключей и значений в YAML файлах
1.3.1,Редактор должен отображать XML файлы с подсветкой синтаксиса в соответствии со спецификацией XML
1.3.2,Редактор должен обеспечивать редактирование XML файлов с сохранением синтаксической корректности
1.3.3,Редактор должен отображать ошибки синтаксиса XML в реальном времени
1.4.1,Редактор должен обеспечивать конвертацию JSON в YAML с сохранением структуры данных
1.4.2,Редактор должен обеспечивать конвертацию YAML в JSON с сохранением структуры данных
1.4.3,Редактор должен обеспечивать конвертацию JSON в XML с сохранением структуры данных
1.4.4,Редактор должен обеспечивать конвертацию XML в JSON с сохранением структуры данных
1.4.5,Редактор должен обеспечивать конвертацию YAML в XML с сохранением структуры данных
1.5.1,Редактор должен обрабатывать drag-and-drop файлов JSON в область редактирования
1.5.2,Редактор должен обрабатывать drag-and-drop файлов YAML в область редактирования
1.5.3,Редактор должен обрабатывать drag-and-drop файлов XML в область редактирования
1.5.4,Редактор должен отображать визуальный индикатор при перетаскивании файлов
1.5.5,Редактор должен проверять тип файла перед загрузкой
1.6.1,Редактор должен обрабатывать Ctrl+S (Cmd+S) для сохранения файла
1.6.2,Редактор должен обрабатывать Ctrl+Z (Cmd+Z) для отмены действия
1.6.3,Редактор должен обрабатывать Ctrl+Y (Cmd+Y) для возврата действия
1.6.4,Редактор должен обрабатывать Ctrl+F (Cmd+F) для поиска в тексте
1.7.1,Редактор должен сохранять историю изменений для каждого файла
1.7.2,Редактор должен позволять отменять изменения в обратном порядке их внесения
1.7.3,Редактор должен позволять возвращать отмененные изменения
1.7.4,Редактор должен отображать доступные действия в истории изменений
1.8.1,Редактор должен подсвечивать ключевые слова в JSON файлах
1.8.2,Редактор должен подсвечивать строки в JSON файлах
1.8.3,Редактор должен подсвечивать числа в JSON файлах
1.8.4,Редактор должен подсвечивать комментарии в JSON файлах
1.8.5,Редактор должен подсвечивать ключевые слова в YAML файлах
1.10.1,Редактор должен искать текст с учетом регистра
1.10.2,Редактор должен искать текст без учета регистра
1.10.3,Редактор должен искать текст с использованием регулярных выражений
1.10.4,Редактор должен заменять найденный текст
1.10.5,Редактор должен заменять все вхождения найденного текста
1.10.6,Редактор должен отображать количество найденных вхождений
2.1.1,Валидатор должен проверять соответствие JSON файла указанной JSON Schema
2.1.2,Валидатор должен отображать ошибки несоответствия JSON Schema
2.1.3,Валидатор должен указывать точное местоположение ошибок в JSON файле
2.1.4,Валидатор должен предоставлять описание ошибок валидации
2.2.1,Валидатор должен проверять соответствие YAML файла указанной JSON Schema
2.2.2,Валидатор должен отображать ошибки несоответствия JSON Schema
2.2.3,Валидатор должен указывать точное местоположение ошибок в YAML файле
2.2.4,Валидатор должен предоставлять описание ошибок валидации
2.3.1,Валидатор должен проверять соответствие XML файла указанной XSD схеме
2.3.2,Валидатор должен отображать ошибки несоответствия XSD схеме
2.3.3,Валидатор должен указывать точное местоположение ошибок в XML файле
2.3.4,Валидатор должен предоставлять описание ошибок валидации
2.4.1,Валидатор должен проверять файл при каждом изменении
2.4.2,Валидатор должен отображать ошибки в реальном времени
2.4.3,Валидатор должен обновлять список ошибок при исправлении
2.4.4,Валидатор должен подсвечивать проблемные места в тексте
2.5.1,Валидатор должен предлагать исправления для синтаксических ошибок
2.5.2,Валидатор должен предлагать исправления для ошибок структуры
2.5.3,Валидатор должен применять исправления по запросу пользователя
2.5.4,Валидатор должен сохранять историю автоматических исправлений
3.1.1,Визуальный редактор должен отображать JSON структуру в виде дерева
3.1.2,Визуальный редактор должен позволять добавлять новые узлы в JSON
3.1.3,Визуальный редактор должен позволять удалять узлы из JSON
3.1.4,Визуальный редактор должен позволять редактировать значения в JSON
3.1.5,Визуальный редактор должен позволять перемещать узлы в JSON
3.2.1,Визуальный редактор должен отображать YAML структуру в виде дерева
3.2.2,Визуальный редактор должен позволять добавлять новые узлы в YAML
3.2.3,Визуальный редактор должен позволять удалять узлы из YAML
3.2.4,Визуальный редактор должен позволять редактировать значения в YAML
3.2.5,Визуальный редактор должен позволять перемещать узлы в YAML
4.1.1,Редактор схем должен отображать JSON Schema с подсветкой синтаксиса
4.1.2,Редактор схем должен позволять редактировать JSON Schema
4.1.3,Редактор схем должен проверять корректность JSON Schema
4.1.4,Редактор схем должен поддерживать автодополнение для JSON Schema
4.2.1,Редактор схем должен отображать XSD схему с подсветкой синтаксиса
4.2.2,Редактор схем должен позволять редактировать XSD схему
4.2.3,Редактор схем должен проверять корректность XSD схемы
4.2.4,Редактор схем должен поддерживать автодополнение для XSD
4.3.1,Визуализатор должен отображать структуру JSON Schema
4.3.3,Визуализатор должен отображать связи между элементами схем
4.3.4,Визуализатор должен позволять настраивать отображение
4.4.1,Редактор схем должен позволять добавлять новые элементы
4.4.2,Редактор схем должен позволять удалять элементы
4.4.3,Редактор схем должен позволять редактировать свойства элементов
4.5.1,Генератор должен создавать JSON Schema из JSON данных
4.5.3,Генератор должен определять типы данных
4.5.4,Генератор должен создавать описания для элементов
4.6.1,Валидатор схем должен проверять корректность JSON Schema
4.6.3,Валидатор схем должен отображать ошибки в схемах
4.7.1,Система должна объединять несколько JSON Schema в одну
4.7.2,Система должна разрешать конфликты при объединении
4.7.3,Система должна сохранять структуру при объединении
4.7.4,Система должна проверять результат объединения
4.8.1,Система должна разрешать ссылки на внешние схемы
4.8.2,Система должна кэшировать разрешенные ссылки
4.8.3,Система должна обрабатывать циклические ссылки
4.8.4,Система должна отображать зависимости между схемами
5.1.1,Интерфейс должен позволять разделять рабочую область на панели
5.1.2,Интерфейс должен позволять изменять размер панелей
5.1.3,Интерфейс должен позволять перемещать панели
5.1.4,Интерфейс должен сохранять расположение панелей
5.2.1,Интерфейс должен адаптироваться под ширину экрана
5.2.2,Интерфейс должен адаптироваться под высоту экрана
5.2.3,Интерфейс должен перестраивать панели при изменении размера
5.2.4,Интерфейс должен сохранять пропорции при изменении размера
5.3.1,Интерфейс должен поддерживать светлую тему
5.3.2,Интерфейс должен поддерживать темную тему
5.3.3,Интерфейс должен автоматически определять тему системы
5.3.4,Интерфейс должен позволять выбирать тему вручную
5.4.1,Система должна отображать уведомления о успешных действиях
5.4.2,Система должна отображать уведомления об ошибках
5.4.3,Система должна отображать уведомления о предупреждениях
5.4.4,Система должна позволять настраивать время отображения
5.5.1,Система должна запрашивать подтверждение при закрытии с несохраненными изменениями
5.5.2,Система должна запрашивать подтверждение при удалении данных
5.5.3,Система должна запрашивать подтверждение при отмене изменений
5.5.4,Система должна запрашивать подтверждение при применении автоматических исправлений
5.6.1,Интерфейс должен позволять настраивать расположение панелей
5.6.2,Интерфейс должен позволять сохранять конфигурацию панелей
5.6.3,Интерфейс должен позволять загружать конфигурацию панелей
5.6.4,Интерфейс должен позволять сбрасывать конфигурацию панелей
5.7.1,Система должна сохранять настройки интерфейса
5.7.2,Система должна сохранять настройки редактора
5.7.3,Система должна сохранять настройки валидации
5.7.4,Система должна сохранять настройки визуализации
6.1.1,Система должна анализировать контекст редактирования
6.1.2,Система должна предлагать релевантные подсказки
6.2.1,Система должна предлагать автодополнение на основе схемы
6.2.2,Система должна предлагать автодополнение на основе контекста
6.2.4,Система должна фильтровать предложения по вводу
6.3.2,Система должна генерировать код по примеру
6.3.3,Система должна генерировать код по шаблону
6.3.4,Система должна проверять сгенерированный код
6.4.1,Система должна анализировать структуру кода
6.4.4,Система должна генерировать отчеты анализа
7.1.1,Система должна сохранять состояние редактора
7.1.2,Система должна сохранять историю изменений
7.1.3,Система должна сохранять настройки сессии
7.1.4,Система должна сохранять открытые файлы
7.2.1,Система должна восстанавливать состояние редактора
7.2.2,Система должна восстанавливать историю изменений
7.2.3,Система должна восстанавливать настройки сессии
7.2.4,Система должна восстанавливать открытые файлы
7.3.1,Система должна экспортировать настройки в файл
7.3.3,Система должна проверять совместимость настроек
7.3.4,Система должна резервировать настройки
7.4.1,Система должна сохранять историю изменений файлов
7.4.4,Система должна позволять откатывать изменения
8.1.1,Отладочная панель должна отображать текущее состояние
8.2.1,Система должна анализировать структуру данных
8.2.3,Система должна генерировать статистику
8.2.4,Система должна визуализировать результаты анализа
8.3.1,Система должна позволять создавать тестовые данные
9.1.2,Система должна проверять совместимость схем
9.2.2,Система должна проверять циклические зависимости
9.2.3,Система должна разрешать зависимости
9.3.4,Система должна объединять изменения в схемах
10.1.1,Система должна поддерживать REST API
10.4.1,Система должна позволять настраивать интерфейс
10.4.2,Система должна позволять настраивать функциональность
10.4.4,Система должна позволять настраивать горячие клавиши 